,단어,점수
0,가격이,1
1,가까스로,0
2,가까이,1
3,가까이하다,1
4,가꾸러뜨리다,-1
5,가꾸러트리다,-1
6,가난,-2
7,가난뱅이,-2
8,가난살이,-2
9,가난살이하다,-2
10,가난설음,-2
11,가난에,-2
12,가난하게,-2
13,가난하고,-2
14,가난하다,-2
15,가난하여,-2
16,가난한,-2
17,가난히,-2
18,가년스럽다,-2
19,가념하다,-1
20,가녕스럽다,-2
21,가누기,-1
22,가누지,-2
23,가눌,-2
24,가능성이,2
25,가능하다,2
26,가닐가닐하다,-1
27,가다듬어,1
28,가당찮다,-2
29,가당찮이,-2
30,가당히,1
31,가두거나,-2
32,가드올려,-1
33,가뜬하게,1
34,가라앉다,0
35,가라앉지,0
36,가라앉혀,1
37,가래,-1
38,가래가,-1
39,가량맞고,-1
40,가려서,-1
41,가려운,-1
42,가련하게,-1
43,가련한,-1
44,가렵고,-1
45,가로막아서,-1
46,가로채서,-1
47,가로채어,-1
48,가르치며,1
49,가르침,1
50,가르침을,0
51,가리지,0
52,가마득하다,-1
53,가만있지,-1
54,가망,-1
55,가망이,-2
56,가벼운,-1
57,가볍게,-1
58,가볍고,2
59,가분가분,1
60,가분히,1
61,가뿐가뿐,1
62,가뿐가뿐하다,1
63,가뿐가뿐히,1
64,가뿐하게,1
65,가뿐하다,1
66,가뿐한,1
67,가뿐히,1
68,가쁘게,-1
69,가쁘고,-1
70,가쁜,-1
71,가살스럽다,-1
72,가소롭게,-1
73,가소롭다,-1
74,가스,-1
75,가슴,-2
76,가슴속에,-2
77,가슴앓이,-2
78,가슴앓이하다,-2
79,가슴이,-2
80,가습이,-1
81,가엽다,-1
82,가엾게,-1
83,가엾고,-2
84,가엾다,-1
85,가운데에서,2
86,가위눌리다,-1
87,가음,-2
88,가장,1
89,가증맞다,-1
90,가증스럽다,-1
91,가지런하게,1
92,가지런하다,1
93,가지런하지,-1
94,가짜,-2
95,가책이,-1
96,가치,2
97,가치가,2
98,가치를,2
99,가치보다,-1
100,가치없는,-2
101,가치있는,1
102,가치작거리는,-1
103,가탈스럽다,-1
104,가혹하게,-2
105,각근하지,-1
106,각별나다,1
107,각별하다,1
108,간드러진,2
109,간사스럽게,-1
110,간사하고,-1
111,간사하다,-1
112,간사한,-2
113,간섭받고,-1
114,간섭하거나,-1
115,간섭하고,-1
116,간섭하다,-1
117,간섭하여,-1
118,간신히,-1
119,간절하다,2
120,간지러워서,-1
121,간지럽게,-1
122,간지럽고,-1
123,간직하다,1
124,간직하지,-1
125,간질,-1
126,간질간질하다,-1
127,간질간질한,-1
128,간편하거나,2
129,간편하다,2
130,갈강병균이,-1
131,갈등,-1
132,갈라서다,-1
133,갈라지는,-1
134,갈색굳음병,-1
135,갈증이,-1
136,갈팡질팡,-1
137,갈팡질팡하다,-1
138,갈팡질팡하며,-1
139,갈피를,-1
140,감각이,-1
141,감각적이다,1
142,감감히,-1
143,감개무량하다,2
144,감격,2
145,감격성,2
146,감격스럽다,2
147,감격스레,2
148,감격이,2
149,감격적,2
150,감격하다,2
151,감격하여,2
152,감금하여,-2
153,감기,-1
154,감기가,-1
155,감기나,-1
156,감기로,-1
157,감당하다,1
158,감동,2
159,감동시킬,1
160,감동을,2
161,감동이,2
162,감동이나,2
163,감동하는,2
164,감동하다,2
165,감동하여,2
166,감동함,2
167,감명되다,2
168,감명적,2
169,감명하다,2
170,감모,1
171,감미롭다,2
172,감병,-1
173,감복하다,2
174,감복하여,2
175,감사,2
176,감사를,2
177,감사하는,2
178,감사하다,2
179,감싸고,0
180,감옥,-1
181,감옥에,-1
182,감정,-1
183,감정을,-1
184,감정의,-2
185,감정이,1
186,감칠맛이,2
187,감탄,2
188,감탄스러울,2
189,감탄스럽다,2
190,감탄적으로,2
191,감탄하다,2
192,감탄할,2
193,감회가,2
194,감회에,2
195,갑갑궁금하다,-1
196,갑갑하고,-1
197,갑갑하다,-1
198,갑갑한,-1
199,갑갑할,-1
200,갑분띠,-1
201,갑분싸,-1
202,갑자기,-1
203,갑작스러워,-1
204,갑작스럽게,-1
205,값을,2
206,값진,2
207,강간죄,-2
208,강개무량,-2
209,강개무량하다,-2
210,강구하다,0
211,강도가,-1
212,강등하여,-1
213,강렬하게,1
214,강박,-1
215,강박하여,-1
216,강세,1
217,강인하다,1
218,강인한,2
219,강제로,-1
220,강제적으로,-2
221,강추,2
222,강탈,-2
223,강탈하다,-2
224,강퇴,-1
225,강하게,1
226,강하고,2
227,강하다,1
228,강한,-1
229,강화하다,1
230,갖지,-1
231,갖추다,1
232,갖추지,-1
233,같잖다,-1
234,같잖아서,-1
235,같잖은,-1
236,갚지,-1
237,개가,-1
238,개선,2
239,개선하고,1
240,개선하다,2
241,개선함,2
242,개성,1
243,개성있는,1
244,개성있다,1
245,개운치,-1
246,개운하게,2
247,개운하고,2
248,개운하다,2
249,개운하지,-1
250,개으름을,-1
251,개이득,2
252,개짓하다,-2
253,개회하다,0
254,갠소,1
255,갸륵한,1
256,갸름하다,1
257,거꾸러뜨리다,-1
258,거꾸로,-1
259,거두지,-1
