,단어,품사,점수
0,강원도,N,0
1,속초,N,0
2,활기,N,2
3,회의,N,0
4,해조류,N,0
5,검은깨,N,0
6,오징어순대,N,0
7,확보,N,0
8,붐비다,V,0
9,읽다,V,0
10,동명항,N,0
11,아몬드,N,0
12,여성,N,0
13,살아나다,V,0
14,당도,N,0
15,두껍다,V,0
16,진미,N,0
17,날림,N,0
18,살집,N,0
19,적잖다,V,1
20,해산물,N,0
21,원산지,N,0
22,띵하다,V,0
23,크나크다,V,1
24,방울,N,0
25,열쇠,N,0
26,소면,N,0
27,돌멩이,N,0
28,소라,N,0
29,리알,N,0
30,폭넓다,V,0
31,가열,N,0
32,완성,N,0
33,녹두,N,0
34,현수막,N,0
35,먹이다,V,0
36,도구,N,0
37,생선,N,0
38,씹다,V,0
39,하이라이트,N,0
40,달라붙다,V,0
41,손색,N,0
42,윗부분,N,0
43,맞닿다,V,0
44,밑간,N,0
45,다지다,V,0
46,퍼먹다,V,0
47,떠먹다,V,0
48,미역국,N,0
49,게딱지,N,0
50,앞니,N,0
51,단박,N,0
52,부대끼다,V,0
53,분량,N,0
54,뽑아내다,V,0
55,발견,N,0
56,게찜,N,0
57,시리다,V,0
58,담그다,V,0
59,액체,N,0
60,스미다,V,0
61,쌀밥,N,0
62,흔하다,V,-1
63,감자,N,0
64,진하다,V,1
65,끈적거리다,V,-1
66,싱그럽다,V,2
67,토속,N,0
68,설탕,N,0
69,녹장,N,0
70,배정,N,0
71,퍼지다,V,0
72,자아내다,V,0
73,구미,N,0
74,전분,N,0
75,식전,N,0
76,길다랗다,V,0
77,놀라워하다,V,1
78,말랑,N,0
79,이색,N,0
80,분과,N,0
81,가라앉다,V,0
82,앙금,N,0
83,요리,N,0
84,양배추,N,0
85,푸드,N,0
86,채우다,V,0
87,감싸다,V,0
88,차디차다,V,0
89,드러나다,V,0
90,기우,N,0
91,담음,N,0
92,진진,N,0
93,영랑,N,0
94,옆구리,N,0
95,안다,V,0
96,으깨다,V,0
97,향의,N,0
98,손질,N,0
99,덕분,N,0
100,빻다,V,0
101,집다,V,0
102,샛노랗다,V,0
103,자극,N,0
104,구석구석,N,0
105,찌르다,V,0
106,호박,N,0
107,삭다,V,0
108,의도,N,0
109,가루,N,0
