,단어,품사,점수
0,많다,V,2
1,네일,N,0
2,플러스,N,0
3,시간,N,0
4,취소,N,0
5,정지연,N,0
6,사거리,N,0
7,카카오톡,N,0
8,제주시,N,0
9,그램,N,0
10,여부,N,0
11,하다,V,0
12,변동,N,0
13,아라동,N,0
14,스타,N,0
15,시간대,N,0
16,빠르다,V,1
17,검색,N,0
18,시청,N,0
19,제거,N,0
20,제주,N,0
21,월랑,N,0
22,동시,N,0
23,환불,N,-1
24,이달,N,0
25,날짜,N,0
26,보내다,V,0
27,계좌,N,0
28,맞은편,N,0
29,예약,N,0
30,불가,N,-2
31,올리브,N,0
32,지다,V,0
33,쇼시,N,0
34,아트,N,0
35,시술,N,0
36,연락처,N,0
37,본죽,N,0
38,주다,V,0
39,성함,N,0
40,카톡,N,0
41,국민,N,0
42,친구,N,0
43,받다,V,0
44,오후,N,0
45,아이디,N,0
46,겨울,N,0
47,디자인,N,0
48,양식,N,0
49,예약금,N,0
50,사진,N,0
51,당일,N,0
52,노형동,N,0
53,가능,N,1
54,많다,V,2
55,네일,N,0
56,플러스,N,0
57,시간,N,0
58,취소,N,0
59,정지연,N,0
60,사거리,N,0
61,카카오톡,N,0
62,제주시,N,0
63,그램,N,0
64,여부,N,0
65,하다,V,0
66,변동,N,0
67,아라동,N,0
68,스타,N,0
69,시간대,N,0
70,빠르다,V,1
71,검색,N,0
72,시청,N,0
73,제거,N,0
74,제주,N,0
75,월랑,N,0
76,동시,N,0
77,환불,N,-1
78,이달,N,0
79,날짜,N,0
80,보내다,V,0
81,계좌,N,0
82,맞은편,N,0
83,예약,N,0
84,불가,N,-2
85,올리브,N,0
86,지다,V,0
87,쇼시,N,0
88,아트,N,0
89,시술,N,0
90,연락처,N,0
91,본죽,N,0
92,주다,V,0
93,성함,N,0
94,카톡,N,0
95,국민,N,0
96,친구,N,0
97,받다,V,0
98,오후,N,0
99,아이디,N,0
100,겨울,N,0
101,디자인,N,0
102,양식,N,0
103,예약금,N,0
104,사진,N,0
105,당일,N,0
106,노형동,N,0
107,가능,N,1
108,많다,V,2
109,네일,N,0
110,플러스,N,0
111,시간,N,0
112,취소,N,0
113,정지연,N,0
114,사거리,N,0
115,카카오톡,N,0
116,제주시,N,0
117,그램,N,0
118,여부,N,0
119,하다,V,0
120,변동,N,0
121,아라동,N,0
122,스타,N,0
123,시간대,N,0
124,빠르다,V,1
125,검색,N,0
126,시청,N,0
127,제거,N,0
128,제주,N,0
129,월랑,N,0
130,동시,N,0
131,환불,N,-1
132,이달,N,0
133,날짜,N,0
134,보내다,V,0
135,계좌,N,0
136,맞은편,N,0
137,예약,N,0
138,불가,N,-2
139,올리브,N,0
140,지다,V,0
141,쇼시,N,0
142,아트,N,0
143,시술,N,0
144,연락처,N,0
145,본죽,N,0
146,주다,V,0
147,성함,N,0
148,카톡,N,0
149,국민,N,0
150,친구,N,0
151,받다,V,0
152,오후,N,0
153,아이디,N,0
154,겨울,N,0
155,디자인,N,0
156,양식,N,0
157,예약금,N,0
158,사진,N,0
159,당일,N,0
160,노형동,N,0
161,가능,N,1
162,많다,V,2
163,네일,N,0
164,플러스,N,0
165,시간,N,0
166,취소,N,0
167,정지연,N,0
168,사거리,N,0
169,카카오톡,N,0
170,제주시,N,0
171,그램,N,0
172,여부,N,0
173,하다,V,0
174,변동,N,0
175,아라동,N,0
176,스타,N,0
177,시간대,N,0
178,빠르다,V,1
179,검색,N,0
180,시청,N,0
181,제거,N,0
182,제주,N,0
183,월랑,N,0
184,동시,N,0
185,환불,N,-1
186,이달,N,0
187,날짜,N,0
188,보내다,V,0
189,계좌,N,0
190,맞은편,N,0
191,예약,N,0
192,불가,N,-2
193,올리브,N,0
194,지다,V,0
195,쇼시,N,0
196,아트,N,0
197,시술,N,0
198,연락처,N,0
199,본죽,N,0
200,주다,V,0
201,성함,N,0
202,카톡,N,0
203,국민,N,0
204,친구,N,0
205,받다,V,0
206,오후,N,0
207,아이디,N,0
208,겨울,N,0
209,디자인,N,0
210,양식,N,0
211,예약금,N,0
212,사진,N,0
213,당일,N,0
214,노형동,N,0
215,가능,N,1
216,많다,V,2
217,네일,N,0
218,플러스,N,0
219,시간,N,0
220,취소,N,0
221,정지연,N,0
222,사거리,N,0
223,카카오톡,N,0
224,제주시,N,0
225,그램,N,0
226,여부,N,0
227,하다,V,0
228,변동,N,0
229,아라동,N,0
230,스타,N,0
231,시간대,N,0
232,빠르다,V,1
233,검색,N,0
234,시청,N,0
235,제거,N,0
236,제주,N,0
237,월랑,N,0
238,웨딩,N,1
239,동시,N,0
240,환불,N,-1
241,이달,N,0
242,날짜,N,0
243,보내다,V,0
244,계좌,N,0
245,맞은편,N,0
246,예약,N,0
247,불가,N,-2
248,올리브,N,0
249,지다,V,0
250,쇼시,N,0
251,아트,N,0
252,시술,N,0
253,연락처,N,0
254,본죽,N,0
255,주다,V,0
256,성함,N,0
257,카톡,N,0
258,국민,N,0
259,친구,N,0
260,받다,V,0
261,오후,N,0
262,아이디,N,0
263,겨울,N,0
264,디자인,N,0
265,양식,N,0
266,예약금,N,0
267,사진,N,0
268,당일,N,0
269,노형동,N,0
270,가능,N,1
271,많다,V,2
272,네일,N,0
273,플러스,N,0
274,시간,N,0
275,취소,N,0
276,정지연,N,0
277,사거리,N,0
278,카카오톡,N,0
279,제주시,N,0
280,그램,N,0
281,여부,N,0
282,하다,V,0
283,변동,N,0
284,아라동,N,0
285,스타,N,0
286,시간대,N,0
287,빠르다,V,1
288,검색,N,0
289,시청,N,0
290,제거,N,0
291,제주,N,0
292,월랑,N,0
293,웨딩,N,1
294,동시,N,0
295,환불,N,-1
296,이달,N,0
297,날짜,N,0
298,보내다,V,0
299,계좌,N,0
300,맞은편,N,0
301,예약,N,0
302,불가,N,-2
303,올리브,N,0
304,지다,V,0
305,쇼시,N,0
306,아트,N,0
307,시술,N,0
308,연락처,N,0
309,본죽,N,0
310,주다,V,0
311,성함,N,0
312,카톡,N,0
313,국민,N,0
314,친구,N,0
315,받다,V,0
316,오후,N,0
317,아이디,N,0
318,겨울,N,0
319,디자인,N,0
320,양식,N,0
321,예약금,N,0
322,사진,N,0
323,당일,N,0
324,노형동,N,0
325,가능,N,1
326,많다,V,2
327,네일,N,0
328,플러스,N,0
329,시간,N,0
330,현아,N,0
331,취소,N,0
332,정지연,N,0
333,사거리,N,0
334,카카오톡,N,0
335,제주시,N,0
336,그램,N,0
337,여부,N,0
338,하다,V,0
339,변동,N,0
