,단어,점수
0,(-;,1
1,(;_;),-1
2,(^^),1
3,(^-^),1
4,(^^*,1
5,(^_^),1
6,(^_^;,-1
7,(^o^),1
8,(-_-),-1
9,(T_T),-1
10,(ㅡㅡ),-1
11,)-:,-1
12,*^^*,1
13,/^o^\,1
14,:(,1
15,:'-(,1
16,:-(,1
17,:),-1
18,:-),1
19,:/,-1
20,:|,1
21,:D,-1
22,:-D,-1
23,:p,0
24,:-P,-1
25,;,1
26,;),1
27,;-),1
28,;ㅅ;,-1
29,^///^,1
30,^^,1
31,^^//,1
32,^-^;,-1
33,^-^;;,-1
34,^-^;;;;;,-1
35,-_-^,-1
36,<3,1
37,=),1
38,8-),0
39,B-),0
40,XD,1
41,ㄱㅅ,1
42,ㄱㅇㄷ,1
43,가격이 싸다,1
44,가까스로,0
45,가까이 사귀어,1
46,가까이하다,1
47,가꾸러뜨리다,-1
48,가꾸러트리다,-1
49,가난,-2
50,가난뱅이,-2
51,가난살이,-2
52,가난살이하다,-2
53,가난설음,-2
54,가난에,-2
55,가난에 쪼들려서,-2
56,가난하게,-2
57,가난하고,-2
58,가난하고 어렵다,-2
59,가난하고 천한,-2
60,가난하다,-2
61,가난하여,-2
62,가난한,-2
63,가난한 데다가,-2
64,가난한 사람을,-2
65,가난히,-2
66,가년스럽다,-2
67,가념하다,-1
68,가녕스럽다,-2
69,가누기 어려워하다,-1
70,가누지 못하고,-2
71,가누지 못하다,-2
72,가누지 못할,-2
73,가누지 못할 정도로,-2
74,가누지 못함,-2
75,가눌 수 없게,-2
76,가눌 수 없을,-2
77,가눌 수 없이,-2
78,가능성이 늘어나다,2
79,가능성이 있다고,2
80,가능하다,2
81,가닐가닐하다,-1
82,가다듬어,1
83,가다듬어 수습하는,1
84,가다듬어 수습하다,1
85,가다듬어 정하다,1
86,가당찮다,-2
87,가당찮이,-2
88,가당히,1
89,가두거나,-1
90,가두거나 해치거나,-2
91,가드올려,-1
92,가뜬하게,1
93,가라앉다,0
94,가라앉지 않은,0
95,가라앉혀 바로잡다,1
96,가래,-1
97,가래 따위가,-1
98,가래가,-1
99,가래가 섞인,-1
100,가량맞고,-1
101,가량맞고 야살스러운,-1
102,가량맞고 야살스러움,-1
103,가려서 좋아하다,-1
104,가려운,-1
105,가려운 느낌이,-1
106,가려운 증상을,-1
107,가련하게,-1
108,가련하게 여기다,-1
109,가련하게 여김,-1
110,가련한,-1
111,가련한 듯하다,-1
112,가렵고,-1
113,가로막아서,-1
114,가로채서,-1
115,가로채어,-1
116,가르치며,1
117,가르침,1
118,가르침을 받아,0
119,가리지 못하다,-1
120,가리지 않고,0
121,가마득하다,-1
122,가만있지 못하고,-1
123,가망 없는,-1
124,가망이 없게,-2
125,가벼운 마음으로,1
126,가벼운 말이나,-1
127,가벼운 상처,-1
128,가벼운 슬픔,-1
129,가벼운 행동으로,-1
130,가볍게,-1
131,가볍게 까부는,-1
132,가볍게 까불다,-1
133,가볍게 쑤시듯,-1
134,가볍게 웃다,1
135,가볍게 채신없이,-1
136,가볍게 행동하거나,-1
137,가볍게 행동하는,-1
138,가볍게 행동하다,-1
139,가볍고,1
140,가볍고 보드랍게,1
141,가볍고 상쾌하다,2
142,가볍고 상쾌한,2
143,가볍고 시원하게,2
144,가볍고 편안하게,2
145,가볍고 환하게,2
146,가분가분,1
147,가분히,1
148,가뿐가뿐,1
149,가뿐가뿐하다,1
150,가뿐가뿐히,1
151,가뿐하게,1
152,가뿐하다,1
153,가뿐한,1
154,가뿐한 느낌,1
155,가뿐한 느낌이,1
156,가뿐히,1
157,가쁘게,-1
158,가쁘게 쉬다,-1
159,가쁘고,-1
160,가쁘고 거칠게,-1
161,가쁘고 급하게,-1
162,가쁜,-1
163,가쁜 증상,-1
164,가살스럽다,-1
165,가소롭게,-1
166,가소롭다,-1
167,가스 중독이나,-1
168,가슴 아파하다,-2
169,가슴 아파함,-2
170,가슴 아프게,-2
171,가슴 아프고,-2
172,가슴 아프다,-2
173,가슴속에 근심이나,-2
174,가슴앓이,-2
175,가슴앓이하다,-2
176,가슴이 갑갑할,-2
177,가슴이 괴롭거나,-2
178,가슴이 그득한,-2
179,가슴이 답답하고,-2
180,가슴이 답답하다,-2
181,가슴이 답답하며,-2
182,가슴이 답답하여,-1
183,가슴이 답답한,-1
184,가슴이 답답해진다,-1
185,가슴이 아프다,-2
186,가슴이 아픈,-2
187,가슴이 울렁거리는,-2
188,가슴이 울렁거리다,-2
189,가슴이 찢어질,-2
190,가습이 답답하고,-1
191,가엽다,-1
192,가엾게,-1
193,가엾게 여겨,-1
194,가엾게 여기다,-1
195,가엾고,-1
196,가엾고 불쌍하다,-2
197,가엾고 불쌍하여,-2
198,가엾고 불쌍한,-2
199,가엾고 불쌍함,-2
200,가엾고 애처롭다,-2
201,가엾다,-1
202,가운데에서 뛰어남,2
203,가위눌리다,-1
204,가음 아프고,-2
205,가장 거룩한,2
206,가장 뛰어나,2
207,가장 뛰어난,2
208,가장 올바르게,2
209,가장 좋은,2
210,가장 중요한,1
211,가증맞다,-1
212,가증스럽다,-1
213,가지런하게 하는,1
214,가지런하게 하다,1
215,가지런하다,1
216,가지런하지 아니하다,-1
217,가지런하지 아니한,-1
218,가짜,-2
219,가책이 되어,-1
220,가치,1
221,가치 없는,-2
222,가치 있는,2
223,가치 있다,2
224,가치가,1
225,가치가 없다,-2
226,가치가 없을,-2
227,가치가 없이,-2
228,가치가 있다,2
229,가치를 믿다,2
230,가치를 인정하다,2
231,가치보다 비싼,-1
232,가치없는,-2
233,가치있는,1
234,가치작거리는,-1
235,가치작거리는 모양,-1
236,가치작거리는 소리,-1
237,가탈스럽다,-1
238,가혹하게,-2
239,가혹하게 착취하여,-2
240,각근하지 못하여,-1
241,각별나다,1
242,각별하다,1
243,간 장애,-2
244,간 질환의,-1
245,간드러진,2
246,간드러진 느낌이,2
247,간사스럽게,-1
248,간사스럽게 행동하는,-1
249,간사스럽게 행동하다,-1
250,간사하고,-1
251,간사하다,-1
252,간사한,-1
253,간사한 사람이나,-1
254,간사한 짓을,-2
255,간섭받고,-1
256,간섭하거나,-1
257,간섭하거나 방해하여,-1
258,간섭하고,-1
259,간섭하다,-1
260,간섭하여,-1
261,간신히 짜내는,-1
262,간절하다,2
263,간지러워서,-1
264,간지럽게,-1
265,간지럽고,-1
266,간지럽고 자릿한,-1
267,간직하다,1
268,간직하지 아니하고,-1
269,간질,-1
270,간질간질하다,-1
