,단어,품사,점수
0,인도적,NNG,1
1,균등,NNG,1
2,최애,NNG,1
3,질투,NNG,-1
4,보상,NNG,1
5,독소,NNG,-1
6,응원,NNG,1
7,핑계,NNG,-1
8,양아치,NNG,-1
9,악취,NNG,-1
10,인센티브,NNG,1
11,장려,NNG,1
12,손상,NNG,-1
13,붕괴,NNG,-1
14,고통,NNG,-1
15,고생,NNG,-1
16,음주운전,NNP,-1
17,격려,NNG,1
18,청결,NNG,1
19,합격,NNG,1
20,불합격,NNG,-1
21,후유증,NNG,-1
22,장애,NNG,-1
23,장애물,NNG,-1
24,스트레스,NNG,-1
25,부진,NNG,-1
26,부작용,NNG,-1
27,참사,NNG,-1
28,죄책감,NNG,-1
29,비상사태,NNG,-1
30,유야무야,NNG,-1
31,평화,NNG,1
32,과실,NNG,-1
33,하극상,NNG,-1
34,소극,NNG,-1
35,급부상,NNG,1
36,적폐,NNG,-1
37,모욕,NNG,-1
38,납치,NNG,-1
39,곤란,NNG,-1
40,경질,NNG,-1
41,유출,NNG,-1
42,감금,NNG,-1
43,벌금,NNG,-1
44,학대,NNG,-1
45,탕진,NNG,-1
46,불륜,NNG,-1
47,변덕,NNG,-1
48,진상,NNG,-1
49,체포,NNG,-1
50,일석이조,NNG,1
51,수치심,NNG,-1
52,증오,NNG,-1
53,청렴,NNG,1
54,탄핵,NNG,-1
55,부득이,MAG,-1
56,오류,NNG,-1
57,허점,NNG,-1
58,궁지,NNG,-1
59,유언비어,NNG,-1
60,난항,NNG,-1
61,멸시,NNG,-1
62,갈취,NNG,-1
63,꼰대,NNG,-1
64,분노,NNG,-1
65,교만,NNG,-1
66,치욕,NNG,-1
67,불통,NNG,-1
68,피살,NNG,-1
69,배려,NNG,1
70,착잡,NNG,-1
71,기적,NNG,1
72,헌신,NNG,1
73,개판,NNG,-1
74,경솔,NNG,-1
75,낭비,NNG,-1
76,외면,NNG,-1
77,막장,NNG,-1
78,불평,NNG,-1
79,부정행위,NNG,-1
80,자격지심,NNG,-1
81,열사병,NNG,-1
82,기탁,NNG,1
83,음해,NNG,-1
84,듣보잡,NNG,-1
85,자유분방,NNG,1
86,후폭풍,NNG,-1
87,원흉,NNG,-1
88,몰상식,NNG,-1
89,과오,NNG,-1
90,참혹,NNG,-1
91,상생,NNG,1
92,곤경,NNG,-1
93,괴담,NNG,-1
94,교도소,NNG,-1
95,결박,NNG,-1
96,날조,NNG,-1
97,허구,NNG,-1
98,첩첩산중,NNG,-1
99,가중,NNG,-1
100,치사,NNG,-1
101,침해,NNG,-1
102,힐링,NNG,1
103,찐따,NNG,-1
104,탈옥,NNG,-1
105,열세,NNG,-1
106,오염,NNG,-1
107,용기,NNG,1
108,전과자,NNG,-1
109,패악,NNG,-1
110,포악,NNG,-1
111,아수라장,NNG,-1
112,의처증,NNG,-1
113,진심,NNG,1
114,정전,NNG,-1
115,정통,NNG,1
116,퍽치기,NNG,-1
117,아비규환,NNG,-1
118,저항,NNG,-1
119,리더십,NNG,1
120,총격,NNG,-1
121,괴물,NNG,-1
122,짜증,NNG,-1
123,공분,NNG,-1
124,평안,NNG,1
125,성매매,NNG,-1
126,흉악망측,NNG,-1
127,차질,NNG,-1
128,비참,NNG,-1
129,궁색,NNG,-1
130,해괴망측,NNG,-1
131,경의,NNG,1
132,자부심,NNG,1
133,상실감,NNG,-1
134,명량,NNP,1
135,위선자,NNG,-1
136,처절,NNG,-1
137,파국,NNG,-1
138,타격,NNG,-1
139,비정,NNG,-1
140,오심,NNG,-1
141,고독,NNG,-1
142,분통,NNG,-1
143,모독,NNG,-1
144,고뇌,NNG,-1
145,번뇌,NNG,-1
146,오지랖,NNG,-1
147,침범,NNG,-1
148,극악무도,NNG,-1
149,최애,NNG,1
150,체벌,NNG,-1
151,멸망,NNG,-1
152,악랄,NNG,-1
153,총기,NNG,1
154,개차반,NNG,-1
155,빨갱이,NNG,-1
156,삿대질,NNG,-1
157,고충,NNG,-1
158,역적,NNG,-1
159,역정,NNG,-1
160,몰수,NNG,-1
161,몰락,NNG,-1
162,토사구팽,NNG,-1
163,고결,NNG,1
164,규탄,NNG,1
165,완화,NNG,1
166,시샘,NNG,-1
167,절교,NNG,-1
168,내란,NNG,-1
169,흉기,NNG,-1
170,패가망신,NNG,-1
171,능욕,NNG,-1
172,구사일생,NNG,1
173,과태료,NNG,-1
174,투지,NNG,1
175,환희,NNG,1
176,사악,NNG,-1
177,고립무원,NNG,-1
178,음모,NNG,-1
179,실랑이,NNG,-1
180,바라,VV,1
181,원하,VV,1
182,어렵,VA,-1
183,감탄,NNG,2
184,기대,NNG,1
185,따뜻,XR,2
186,상냥,XR,2
187,멋지,VA,2
188,숭고,XR,2
189,훌륭,XR,2
190,가당,XR,-1
191,갑갑,XR,-1
192,걱정,NNG,-1
193,겁나,VV,-2
194,견디,VV,-1
195,고발,NNG,-2
196,하소연,NNG,-2
197,골탕,NNG,-2
198,구속,NNG,-2
199,막히,VV,-1
200,낙후,NNG,-1
201,내팽개치,VV,-2
202,넋두리,NNG,-1
203,눈가림,NNG,-1
204,답답,XR,-1
205,더럽,VA,-1
206,두렵,VA,-2
207,막막,XR,-2
208,모자르,VA,-1
209,몰골,NNG,-2
210,몰지각,NNG,-2
211,무성의,NNG,-1
212,무안,NNG,-1
213,책임,NNG,-2
214,민망,XR,-1
215,박수,NNG,1
216,부당,NNG,-2
217,부도,NNG,-2
218,부채,NNG,-2
219,분개,NNG,-2
220,분진,NNG,-1
221,불법,NNG,-2
222,불쌍,XR,-1
223,불안,NNG,-1
224,불친절,NNG,-1
225,불쾌감,NNG,-2
226,불쾌,XR,-2
227,불편,NNG,-1
228,불행,NNG,-1
229,비난,NNG,-2
230,비판,NNG,-1
231,위험,NNG,-2
232,의절,NNG,-1
233,위조,NNG,-1
234,사기,NNG,-2
235,삭막,XR,-1
236,삼중고,NNG,-2
237,달리,MAG,-1
238,곤두세우,VV,-1
239,실망,NNG,-1
240,심각,XR,-2
241,쓰레기,NNG,-2
242,씁슬,XR,-1
243,아쉽,VA,-1
244,안타깝,VA,-1
